score_margin_hma,total_points,spread_hma,spread_hma_adjusted,delta_marg2spread,Rk_hma,G_hma,PF_hma,Yds_hma,Ply_hma,Y/P_hma,TO_hma,FL_hma,1stD_hma,Cmp_hma,Att_hma,Yds.1_hma,TD_hma,Int_hma,NY/A_hma,1stD.1_hma,Att.1_hma,Yds.2_hma,TD.1_hma,Y/A_hma,1stD.2_hma,Pen_hma,Yds.3_hma,1stPy_hma,Sc%_hma,TO%_hma,EXP_hma,Rk_po_hma,G_po_hma,Cmp_po_hma,Att_po_hma,Cmp%_hma,Yds_po_hma,TD_po_hma,TD%_hma,Int_po_hma,Int%_hma,Lng_hma,Y/A_po_hma,AY/A_hma,Y/C_hma,Y/G_hma,Rate_hma,Sk_hma,Yds.1_po_hma,NY/A_po_hma,ANY/A_hma,Sk%_hma,4QC_hma,GWD_hma,EXP_po_hma,Rk_hma,G_hma,Att_hma,Yds_hma,TD_hma,Lng_ro_hma,Y/A_hma,Y/G_ro_hma,Fmb_hma,EXP_hma,Rk_ret_hma,G_ret_hma,Ret_hma,Yds_ret_hma,TD_ret_hma,Lng_hma,Y/R_hma,Rt_hma,Yds.1_hma,TD.1_ret_hma,Lng.1_hma,Y/Rt_hma,APYd_hma,Rk_hma,G_hma,FGA_hma,FGM_hma,FGA.1_hma,FGM.1_hma,FGA.2_hma,FGM.2_hma,FGA.3_hma,FGM.3_hma,FGA.4_hma,FGM.4_hma,FGA.5_hma,FGM.5_hma,Lng_kp_hma,FG%_hma,XPA_hma,XPM_hma,XP%_hma,KO_hma,KOYds_hma,TB_hma,TB%_hma,KOAvg_hma,Pnt_hma,Yds_hma,Lng.1_kp_hma,Blck_hma,Y/P_kp_hma,Rk_oconv_hma,G_oconv_hma,3DAtt_hma,3DConv_hma,3D%_hma,4DAtt_hma,4DConv_hma,4D%_hma,RZAtt_hma,RZTD_hma,RZPct_hma,Rk_hma,G_hma,#Dr_hma,Plays_hma,Sc%_odriv_hma,TO%_odriv_hma,Plays.1_hma,Yds_odriv_hma,Time_hma,Pts_hma,Rk_td_hma,G_td_hma,PF_td_hma,Yds_hma,Ply_td_hma,Y/P_hma,TO_td_hma,FL_td_hma,1stD_td_hma,Cmp_hma,Att_td_hma,Yds.1_td_hma,TD_hma,Int_hma,NY/A_hma,1stD.1_td_hma,Att.1_td_hma,Yds.2_td_hma,TD.1_hma,Y/A_td_hma,1stD.2_td_hma,Pen_td_hma,Yds.3_td_hma,1stPy_td_hma,Sc%_hma,TO%_hma,EXP_td_hma,G_hma,Att_hma,Cmp_ad_hma,Yds_ad_hma,TD_ad_hma,DADOT_hma,Air_hma,YAC_hma,Bltz_hma,Bltz%_hma,Hrry_hma,Hrry%_hma,QBKD_hma,QBKD%_hma,Sk_ad_hma,Prss_hma,Prss%_hma,MTkl_hma,Rk_hma,G_pd_hma,Cmp_hma,Att_pd_hma,Cmp%_pd_hma,Yds_hma,TD_hma,TD%_pd_hma,Int_pd_hma,PD_hma,Int%_pd_hma,Y/A_hma,AY/A_pd_hma,Y/C_pd_hma,Y/G_hma,Rate_pd_hma,Sk_hma,Yds.1_hma,QBHits_hma,TFL_hma,NY/A_pd_hma,ANY/A_pd_hma,Sk%_pd_hma,EXP_hma,Rk_rd_hma,G_hma,Att_hma,Yds_rd_hma,TD_rd_hma,Y/A_rd_hma,Y/G_rd_hma,EXP_rd_hma,Rk_hma,G_retd_hma,Ret_retd_hma,Yds_hma,TD_hma,Y/R_retd_hma,Rt_retd_hma,Yds.1_retd_hma,TD.1_retd_hma,Y/Rt_retd_hma,Rk_kpd_hma,G_hma,FGA_kpd_hma,FGM_kpd_hma,FG%_kpd_hma,XPA_kpd_hma,XPM_kpd_hma,XP%_kpd_hma,Pnt_kpd_hma,Yds_kpd_hma,Blck_kpd_hma,Y/P_kpd_hma,Rk_hma,G_dconv_hma,3DAtt_dconv_hma,3DConv_dconv_hma,3D%_dconv_hma,4DAtt_dconv_hma,4DConv_dconv_hma,4D%_dconv_hma,RZAtt_dconv_hma,RZTD_dconv_hma,RZPct_dconv_hma,Rk_ddriv_hma,G_hma,#Dr_ddriv_hma,Plays_ddriv_hma,Sc%_ddriv_hma,TO%_ddriv_hma,Plays.1_ddriv_hma,Yds_hma,Time_ddriv_hma,Pts_ddriv_hma
26,44,-19.5,19.5,-6.5,-26,0,230,2174,109,1.6,-3,4,128,128,131,2058,24,-7,2.2,109,-3,116,4,0.4,16,4,-33,3,21.6,-1.7,339.89,-30,0,128,131,8.2,2058,24,3.1,-7,-1.7,6,1.7,3.1,1.2,128.6,31.4,-19,-168,2.2,3.6,-4.2,3,3,299.02,-7,0,-3,116,4,-14,0.4,7.2,11,38.38,-2,0,18,77,1,49,-2.8,-16,-165,1,36,6,2041,4,0,2,2,0,1,-1,0,-1,0,-1,1,-1,4,3,0.176,30,28,0.056,34,2165,38,0.202,0.3,-30,-1259,7,0,1.1,-26,0,-12,25,0.15,-2,2,0.174,21,20,0.189,12,0,-12,108,21.6,-1.7,1.1,15.1,0.01875,1.38,-15,0,-95,-468,-59,-0.1,3,-3,-28,-69,-48,-630,-5,6,-0.5,-33,-12,162,-2,0.5,13,-2,-139,-8,-8.5,2.3,41.26,0,-48,-69,-630,-5,0.8,-446,6,-27,-0.027,-2,0.001,13,0.03,1,12,0.029,-13,-14,0,-69,-48,-6.4,-630,-5,-0.4,6,-3,1.2,-0.5,-1.1,0.4,-39.4,-13.8,1,3,15,-25,-0.5,-1.1,0.5,106.18,9,0,-12,162,-2,0.5,10.1,-78.1,2,0,-23,-327,0,-3.8,-4,-121,1,-0.9,-4,0,-9,-11,-0.137,-12,-12,-0.012,3,375,-2,4.3,-13,0,-14,-13,-0.036,8,8,0.233,-13,0,0.166,-8,0,-8,-68,-8.5,2.3,-0.1,-1.1,-0.002777778,-0.37
14,42,-3,3,-11,-5,0,83,757,31,0.6,0,0,63,-9,-59,94,-4,0,0.9,11,96,663,11,0.6,49,-39,-418,3,10.6,1.2,114.95,-1,0,-9,-59,5.8,94,-4,-0.5,0,0.4,-19,0.9,0.6,0.3,5.8,5.2,-6,-85,0.9,0.6,-0.1,1,3,48.12,-19,0,96,663,11,3,0.6,41.4,11,64.39,-4,0,13,271,1,52,6.9,-10,-94,0,-13,3.3,832,21,0,0,0,-1,0,-3,-2,6,8,-2,-1,0,5,-4,0.179,9,10,0.076,12,791,8,0.02,0.5,-27,-920,11,0,4.8,-6,0,-20,6,0.069,-1,2,0.14,10,10,0.121,15,0,-18,31,10.6,1.2,0.8,7.5,0.016666667,0.56,-19,0,-104,-541,-99,0.1,3,-5,-42,-85,-111,-852,-12,8,0,-48,19,311,1,0.5,31,-17,-260,-25,-5.7,3.3,56.05,0,-111,-85,-852,-12,0.8,-617,-316,-114,-0.14,22,0.055,-10,-0.001,-7,5,0.047,-42,-20,0,-85,-111,-1.7,-852,-12,-1.1,8,-15,1.9,-0.1,-1.2,0.2,-53.3,-13.9,-7,-21,-19,-24,0,-1.1,-0.3,127.62,14,0,19,311,1,0.5,19.4,-66.29,4,0,-26,-375,0,-5.8,5,10,0,-3.5,-20,0,-8,-7,-0.014,-13,-13,-0.013,-2,118,-2,3.9,-14,0,-16,-14,-0.037,4,4,0.146,-11,-4,0.053,-19,0,-20,-107,-5.7,3.3,0.1,1,0.011111111,-0.31
37,43,-16.5,16.5,-20.5,-24,0,216,1433,74,1.1,-1,0,87,96,64,1145,24,-1,1.3,70,5,288,6,0.7,17,-17,-290,0,18.1,-0.8,188.31,-15,0,96,64,10.4,1145,24,3.9,-1,-0.5,-7,1.3,2.3,0.2,71.5,29.1,5,-15,1.3,2.2,0,3,3,160.38,-11,0,5,288,6,4,0.7,18,6,33.32,3,0,12,103,0,2,0,-13,-182,0,-17,2.7,1289,-4,0,0,0,-5,-4,-3,-2,7,10,-3,-1,-4,3,6,0.25,29,29,0.092,30,1853,18,0.019,-0.3,-21,-570,7,0,5.7,-5,0,-17,6,0.062,-4,1,0.182,18,25,0.311,-5,0,3,70,18.1,-0.8,0.3,7.5,0.00625,1.21,-11,0,-86,-112,31,-0.2,3,-1,-5,32,69,151,-11,4,-0.6,18,-53,-263,2,-0.1,-3,-5,-96,-20,-4.6,1.3,83.34,0,69,32,151,-11,0.4,364,-172,4,-0.049,13,0.005,13,0.01,15,41,0.024,-44,3,0,32,69,-2.3,151,-11,-2.2,4,13,0.4,-0.5,-1.1,-0.3,9.4,-13,15,65,25,16,-0.6,-1.2,1.5,79.09,-7,0,-53,-263,2,-0.1,-16.4,-9.37,-3,0,-10,-247,0,-4.6,11,145,0,-3.4,5,0,0,0,0,-19,-24,-0.174,2,252,-1,3,9,0,21,15,0.025,11,5,0.018,-4,-1,0.025,-2,0,-2,31,-4.6,1.3,0.3,-0.1,-0.004861111,-0.33
29,43,-11.5,11.5,-17.5,-23,0,208,1570,84,1.2,-4,-1,95,79,53,1257,8,-3,1.9,55,53,313,11,0.2,35,-7,-53,5,18.1,-2.1,227.48,-20,0,79,53,8.7,1257,8,1.1,-3,-0.8,-14,1.4,2,0.6,78.5,20,-22,-186,1.9,2.4,-4.2,2,3,209.35,-12,0,53,313,11,16,0.2,19.6,0,19.25,-19,0,21,226,0,8,1.5,2,300,1,35,6,2070,8,0,0,0,3,4,3,3,5,6,-2,-2,9,11,-2,0.115,21,23,0.123,34,2105,12,-0.066,-0.3,-33,-1382,0,1,1.3,-9,0,-9,8,0.056,8,9,0.226,22,19,0.162,3,0,-4,93,18.1,-2.1,0.7,9.8,0.015277778,1,-16,0,-95,-887,-89,-0.3,6,1,-52,-49,-43,-543,-10,5,-0.5,-32,-55,-344,0,-0.3,-6,-13,-144,-14,-9.5,3.6,93.53,0,-43,-49,-543,-10,0.5,-41,-323,-141,-0.213,13,0.023,-16,-0.022,9,6,0.016,-62,-8,0,-49,-43,-3.4,-543,-10,-1.3,5,11,1,-0.3,-1,0.2,-34,-12.7,9,75,-3,-1,-0.5,-1.2,1.7,107.76,-10,0,-55,-344,0,-0.3,-21.5,-9.5,19,0,-15,-269,0,-4,24,417,1,-3.5,-7,0,-12,-10,-0.003,-11,-9,0.038,10,560,-1,2.2,-3,0,1,-4,-0.022,2,1,0.012,-8,-4,0.015,-12,0,-9,-101,-9.5,3.6,-0.3,-3.3,-0.005555556,-0.46
10,44,-6.5,6.5,-3.5,-30,0,258,1864,86,1.4,3,6,128,118,97,1824,24,-3,2.2,94,5,40,7,0.1,25,1,-11,9,23.1,0.9,287.73,-28,0,118,97,10.3,1824,24,3.5,-3,-1,-13,1.8,2.9,1,114,31.7,-16,-153,2.2,3.3,-3.6,2,3,282.93,-3,0,5,40,7,5,0.1,2.5,10,5.26,-16,0,21,284,1,66,3.3,-5,184,0,-6,7.8,2243,-1,0,1,1,2,3,-1,-3,3,5,1,1,6,7,3,0.074,35,37,0.133,38,2504,37,0.163,1.1,-41,-1516,12,0,6.9,-25,0,-19,23,0.157,-8,1,0.411,30,26,0.197,4,0,-5,92,23.1,0.9,0.7,11.7,0.018055556,1.44,-10,0,-82,-561,-56,-0.2,7,2,-30,-49,-32,-683,-11,5,-0.8,-36,-31,122,5,0.6,25,-13,-171,-19,-5.2,4.6,46.05,0,-32,-49,-683,-11,-0.7,-419,-307,-19,-0.026,-7,-0.01,2,0.008,7,2,0.005,-7,-15,0,-49,-32,-4.7,-683,-11,-1.6,5,9,0.9,-0.7,-1.5,-0.3,-42.7,-16.3,7,34,8,0,-0.8,-1.6,1.3,118.17,5,0,-31,122,5,0.6,7.6,-76.84,16,0,-22,-308,0,-3.1,3,-133,0,-6.9,-1,0,-10,-6,0.091,-15,-18,-0.097,9,624,-2,3.9,-15,0,-11,-14,-0.048,7,6,0.162,-2,2,0.055,-7,0,-7,-66,-5.2,4.6,-0.1,-1.8,-0.010416667,-0.25
24,24,-9,9,-15,-17,0,161,945,73,0.6,1,2,76,78,60,940,8,-1,1.1,61,22,5,6,-0.2,6,-27,-317,9,15.1,0.1,121.03,-11,0,78,60,7.7,940,8,1.1,-1,-0.5,1,0.8,1.3,-0.1,58.7,15.3,-9,-118,1.1,1.5,-2.2,3,3,132.27,-1,0,22,5,6,-15,-0.2,0.3,9,-13.23,11,0,22,268,1,70,2.5,-29,-596,0,-21,-1.9,647,-7,0,1,1,1,2,-3,-2,8,9,4,5,11,15,1,0.173,12,16,0.167,29,1624,30,0.156,-2.1,-14,-558,3,0,0.8,-10,0,-4,8,0.046,-8,1,0.411,22,19,0.162,-10,0,6,84,15.1,0.1,0.3,4.4,0.009027778,0.74,-20,0,-119,-315,-83,0.2,10,2,-45,-75,-60,-385,-13,8,0,-42,-33,70,1,0.5,13,-14,-94,-16,-13.9,4.9,132.72,0,-60,-75,-385,-13,1.5,-249,-26,-1,0.024,-1,0.004,1,0.011,10,10,0.031,-26,-5,0,-75,-60,-6.2,-385,-13,-1.7,8,9,1.6,0.4,-0.7,1.7,-24.1,-16.2,10,163,15,-3,0,-1.1,2.1,186.77,4,0,-33,70,1,0.5,4.4,-49.69,-11,0,-14,-149,2,0.7,-3,-294,0,-9.1,8,0,-12,-12,-0.09,-11,-11,-0.011,12,764,-1,3.9,-21,0,-16,-32,-0.134,14,7,0.045,-13,-9,-0.026,2,0,2,-95,-13.9,4.9,-0.6,-2.1,-0.013888889,-0.7
6,62,-9.5,9.5,3.5,-13,0,141,1634,179,0.7,-3,1,104,121,128,1533,15,-4,1.3,80,60,101,3,-0.3,17,-16,-242,7,12,-2.3,188.67,-25,0,121,128,7.4,1533,15,1.7,-4,-1.2,3,1.1,1.9,0.3,95.8,21.1,-9,-100,1.3,2.2,-2.8,2,4,199.04,-5,0,60,101,3,-10,-0.3,6.3,8,-8.8,-10,0,8,14,0,12,-3,1,113,0,10,2.2,1766,6,0,0,0,1,2,-4,-3,7,5,1,-1,5,3,-2,-0.023,15,16,0.09,21,1399,15,0.043,1,-22,-929,3,3,0.6,-30,0,18,29,0.102,7,5,0.091,18,16,0.15,-1,0,0,184,12,-2.3,1,9.2,0.015277778,0.77,-3,0,-31,-706,-84,-0.2,0,-2,-57,-78,-62,-831,-5,2,-0.6,-49,-18,125,1,0.5,12,-5,-30,-20,-1.1,-0.7,79.33,0,-62,-78,-831,-5,1.3,-205,-484,-151,-0.221,1,0.009,5,0.019,-4,2,0.021,-23,-19,0,-78,-62,-6.5,-831,-5,-0.3,2,-13,0.5,-0.8,-1.1,-0.1,-52,-11.8,-4,-49,1,-17,-0.6,-1,-0.2,101.94,6,0,-18,125,1,0.5,7.8,-27.29,10,0,-1,118,1,3.5,7,243,0,2.1,-5,0,-3,-1,0.046,-8,-10,-0.053,7,621,-2,5.3,-1,0,2,-1,-0.01,3,5,0.25,-5,-4,-0.018,-6,0,-7,-87,-1.1,-0.7,-0.2,-2.7,-0.005555556,-0.08
-3,43,-17,17,20,-10,0,129,1553,140,0.8,6,6,83,100,91,1218,4,0,1.3,60,67,335,10,0.2,29,-30,-297,-6,7.9,1.6,116.31,-18,0,100,91,7.9,1218,4,0.2,0,-0.4,-13,0.9,1.1,0,76.1,12.5,-18,-150,1.3,1.6,-3.8,0,1,114.25,-13,0,67,335,10,15,0.2,20.9,11,-14.26,-9,0,24,149,0,16,-1.7,-16,-295,0,-25,0.8,1384,-6,0,0,0,0,0,0,0,4,4,-3,-2,2,3,-4,0.05,18,18,0.072,18,1239,20,0.127,1.3,-13,-499,3,1,1,-29,0,20,28,0.094,-1,1,0.082,19,17,0.158,-13,0,9,142,7.9,1.6,0.5,7.1,0.009722222,0.52,-25,0,-161,-1690,-92,-1.1,3,-1,-101,-71,-57,-1358,-17,4,-1.8,-65,-57,-332,-4,-0.2,-9,-21,-317,-27,-16.7,1.3,255.04,0,-57,-71,-1358,-17,-0.7,-1090,-409,-90,-0.13,-12,-0.016,-4,0.001,22,6,0.017,-55,-27,0,-71,-57,-5.8,-1358,-17,-2.5,4,1,0.9,-1.4,-2.3,-1.2,-84.9,-22.8,22,164,18,-6,-1.8,-2.7,3.9,233.66,-9,0,-57,-332,-4,-0.2,-20.7,12.62,9,0,-15,-149,1,1.2,-1,67,0,3.5,7,0,-9,-7,0.017,-20,-18,0.038,30,1793,-2,6.3,-16,0,7,-16,-0.092,9,4,0.012,-14,-9,-0.013,6,0,6,-101,-16.7,1.3,-0.8,-10.3,-0.01875,-1
6,38,-13,13,7,-22,0,150,1284,27,1.1,-16,0,89,103,74,1403,19,-16,1.5,79,-39,-119,0,0.2,16,24,249,-6,14.9,-7.8,302.64,-25,0,103,74,9.7,1403,19,2.5,-16,-3,-17,1.3,3.2,0.3,87.7,34.8,-8,-71,1.5,3.4,-1.7,1,1,252.66,3,0,-39,-119,0,-33,0.2,-7.5,-4,45.59,-10,0,8,-104,0,-16,-7.6,-2,89,1,71,5.2,1350,-5,0,2,2,1,1,4,5,-3,-5,-12,-6,-8,-3,0,0.126,24,23,0.056,18,1291,18,0.058,1.9,-14,-701,-2,-1,-1.1,-13,0,-18,13,0.103,1,5,0.296,14,12,0.077,27,0,-25,19,14.9,-7.8,1,12.3,0.022222222,1.03,-14,0,-84,-154,-21,0,6,0,20,-25,-10,-28,8,6,0.1,1,-1,-126,-8,-0.3,7,-9,-192,12,-8.5,4.8,-35.07,0,-10,-25,-28,8,0.3,-183,239,44,0.078,-18,-0.026,14,0.026,-10,-14,-0.016,25,-3,0,-25,-10,-3.3,-28,8,1.5,6,0,1.1,-0.1,-0.3,0.5,-1.7,-2.7,-10,-93,6,-18,0.1,0,-1.5,-19.47,-4,0,-1,-126,-8,-0.3,-7.9,-25.86,10,0,-13,-107,0,-0.2,2,-78,0,-6,4,0,-16,-21,-0.237,-4,-3,0.018,-6,-182,0,1.5,-11,0,-31,-11,0.008,6,6,0.15,-14,7,0.291,-17,0,-15,-37,-8.5,4.8,0.3,1.9,0.005555556,-0.17
-6,30,-8,8,14,-1,0,3,-133,-51,0.1,-13,-4,24,-34,-116,-561,-9,-9,0.2,-19,60,428,7,0.4,49,-19,-136,-6,3.9,-4.9,77.7,4,0,-34,-116,7.3,-561,-9,-1.1,-9,-0.9,-42,0.5,0.7,-0.6,-35.1,8.6,5,12,0.2,0.4,2.4,-1,1,1.76,-9,0,60,428,7,-16,0.4,26.7,-4,71.6,-12,0,3,90,0,-13,2.1,4,160,0,22,2.5,141,12,0,0,0,0,0,2,3,4,3,-13,-8,-7,-2,-7,0.129,3,5,0.076,-4,-83,-12,-0.124,2.1,-11,-362,2,-1,2.6,7,0,-26,-6,0.022,2,5,0.262,3,2,0.009,30,0,-31,-58,3.9,-4.9,0.7,4.7,0.020138889,0.21,-18,0,-93,-227,-61,0.2,6,-2,6,-41,-73,-250,1,8,0.6,-14,30,23,-5,-0.3,25,-24,-313,-5,-5.7,5.8,-20.28,0,-73,-41,-250,1,0.3,-354,-83,-43,-0.035,6,0.028,-9,-0.005,-18,-21,0.002,-4,-9,0,-41,-73,1.4,-250,1,0.8,8,-12,1.8,0.3,-0.4,0.3,-15.6,-2.8,-18,-117,-28,-17,0.6,0,-2.3,1.97,1,0,30,23,-5,-0.3,1.4,-14.05,12,0,-16,-155,0,-2.2,11,53,-1,-8.6,-12,0,-15,-17,-0.114,-5,-4,0.017,-11,-439,0,1.1,-12,0,-33,-12,0.007,2,2,0.063,-12,3,0.178,-28,0,-27,-76,-5.7,5.8,0.5,4,0.019444444,-0.11
