Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,16,625,425,4697,34,8.5,2766,2224,225,32.9%,71,10.4%,61,9.8%,29,161,23.6%,101
Buffalo Bills,16,573,369,3726,23,6.9,2176,1774,230,35.8%,50,7.8%,55,9.6%,38,143,22.2%,125
Carolina Panthers,16,585,398,3825,28,7.5,2369,1965,153,24.0%,55,8.6%,59,10.1%,29,143,22.4%,121
Chicago Bears,16,547,350,3705,28,8.6,2377,1748,131,21.4%,49,8.0%,53,9.7%,35,137,22.4%,89
Cincinnati Bengals,16,541,340,3859,32,8.9,2408,1655,182,31.1%,39,6.7%,55,10.2%,17,111,19.0%,110
Cleveland Browns,16,585,371,3962,31,8.7,2450,1872,138,21.3%,69,10.6%,35,6.0%,38,142,21.9%,96
Indianapolis Colts,16,562,369,3866,24,8.1,2554,1758,108,17.1%,70,11.1%,37,6.6%,40,147,23.3%,70
Arizona Cardinals,16,570,365,3623,26,7.7,1917,2060,257,39.4%,65,10.0%,56,9.8%,48,169,25.9%,110
Dallas Cowboys,16,513,328,3642,34,8.4,2319,1688,132,22.8%,56,9.7%,45,8.8%,31,132,22.8%,102
Denver Broncos,16,567,374,3807,21,8.1,2332,1848,178,27.9%,73,11.5%,52,9.2%,42,167,26.2%,94
Detroit Lions,16,557,383,4558,38,8.8,2787,2170,142,23.7%,46,7.7%,35,6.3%,24,105,17.5%,128
Green Bay Packers,16,536,346,3539,23,7.7,2100,1870,150,24.7%,49,8.1%,38,7.1%,41,128,21.1%,109
Houston Texans,16,541,377,4104,30,7.7,2232,2282,212,35.9%,46,7.8%,47,8.7%,34,127,21.5%,125
Jacksonville Jaguars,16,533,370,4231,34,8.3,2231,2108,179,31.0%,41,7.1%,57,10.7%,18,116,20.1%,114
Kansas City Chiefs,16,557,349,3779,29,8.4,2149,2087,222,35.7%,55,8.9%,66,11.8%,32,153,24.6%,119
Miami Dolphins,16,545,343,4024,21,9.1,2346,2055,248,40.8%,56,9.2%,54,9.9%,41,151,24.8%,106
Minnesota Vikings,16,541,358,4141,30,9.0,2577,1764,159,26.9%,49,8.3%,44,8.1%,23,116,19.6%,131
New Orleans Saints,16,557,333,3472,28,9.2,2331,1589,197,31.8%,51,8.2%,67,12.0%,45,163,26.3%,82
New England Patriots,16,494,333,3557,22,8.4,1978,1765,135,24.4%,79,14.3%,43,8.7%,24,146,26.4%,90
New York Giants,16,574,388,3807,22,7.0,2292,1825,165,25.5%,61,9.4%,64,11.1%,40,165,25.5%,97
New York Jets,16,605,418,4409,34,7.6,2595,2081,249,38.4%,57,8.8%,53,8.8%,31,141,21.7%,132
Tennessee Titans,16,630,423,4439,36,8.1,2618,1970,194,28.7%,49,7.2%,51,8.1%,19,119,17.6%,113
Philadelphia Eagles,16,530,364,3798,27,7.7,2342,1924,133,22.2%,56,9.4%,62,11.7%,49,167,27.9%,115
Pittsburgh Steelers,16,526,298,3110,22,9.5,2088,1382,244,40.3%,77,12.7%,80,15.2%,56,213,35.1%,111
Las Vegas Raiders,16,580,370,4212,28,7.9,2490,2052,147,23.5%,71,11.3%,55,9.5%,21,147,23.5%,143
Los Angeles Rams,16,548,347,3051,17,6.9,1505,1672,159,25.4%,45,7.2%,49,8.9%,53,147,23.4%,77
Baltimore Ravens,16,596,380,3536,22,7.8,2066,1799,290,44.1%,60,9.1%,77,12.9%,39,176,26.8%,134
Los Angeles Chargers,16,543,340,3578,29,8.9,2390,1597,98,16.3%,58,9.7%,58,10.7%,27,143,23.8%,109
Seattle Seahawks,16,674,450,4560,23,8.0,2959,1909,253,33.5%,70,9.3%,66,9.8%,46,182,24.1%,88
San Francisco 49ers,16,537,341,3327,25,7.8,1902,1678,203,33.6%,68,11.2%,39,7.3%,30,137,22.6%,68
Tampa Bay Buccaneers,16,617,426,3945,29,7.6,2656,2002,268,39.0%,73,10.6%,68,11.0%,48,189,27.5%,103
Washington Football Team,16,529,330,3068,21,8.3,2014,1499,195,32.4%,59,9.8%,50,9.5%,47,156,25.9%,120
