Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,New Orleans Saints,16,,,6,5,10,10,9,7,3,1,28,23,53,82.1%,58,57,98.3%,95,5962,71,74.7%,62.8,62,2674,58,0,43.1
2,Pittsburgh Steelers,16,,,6,6,7,7,10,9,1,1,24,23,59,95.8%,45,41,91.1%,88,5491,45,51.1%,62.4,77,3470,62,0,45.1
3,Tampa Bay Buccaneers,16,1,1,10,10,9,9,9,7,2,1,31,28,50,90.3%,57,52,91.2%,101,6493,85,84.2%,64.3,55,2486,62,0,45.2
4,Miami Dolphins,16,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,92,5589,64,69.6%,60.8,68,3040,63,0,44.7
5,Los Angeles Rams,16,,,7,6,10,9,10,7,2,1,30,24,51,80.0%,42,38,90.5%,81,5204,54,66.7%,64.2,69,3099,63,1,44.9
6,Washington Football Team,16,,,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6,73,3504,65,0,48.0
7,Seattle Seahawks,16,,,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,93,5818,52,55.9%,62.6,61,3028,67,0,49.6
8,Cincinnati Bengals,16,,,3,3,15,13,10,8,6,3,34,27,55,79.4%,33,32,97.0%,76,4777,56,73.7%,62.9,71,3350,72,0,47.2
9,Baltimore Ravens,16,,,8,8,7,6,9,9,5,3,29,26,55,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1,53,2368,59,0,44.7
10,Buffalo Bills,16,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0,41,2082,72,0,50.8
11,New York Jets,16,,,7,6,10,9,6,3,5,3,28,21,55,75.0%,24,20,83.3%,63,3965,34,54.0%,62.9,82,3598,60,0,43.9
12,Atlanta Falcons,16,,,11,11,12,11,9,8,8,8,40,38,54,95.0%,38,34,89.5%,92,5802,46,50.0%,63.1,56,2381,57,0,42.5
13,Arizona Cardinals,16,,,5,5,7,6,15,10,3,2,30,23,56,76.7%,46,45,97.8%,87,5450,39,44.8%,62.6,58,2600,61,0,44.8
14,San Francisco 49ers,16,,,3,3,8,7,11,10,4,2,26,22,52,84.6%,40,38,95.0%,81,4871,44,54.3%,60.1,67,3093,60,1,46.2
15,Kansas City Chiefs,16,2,2,7,7,9,9,5,3,4,4,27,25,58,92.6%,54,48,88.9%,97,6130,72,74.2%,63.2,52,2339,67,0,45.0
16,Chicago Bears,16,,,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1,64,2924,64,0,45.7
17,Los Angeles Chargers,16,,,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,84,5364,49,58.3%,63.9,60,2669,63,3,44.5
18,Tennessee Titans,16,,,3,2,6,5,11,6,8,7,28,20,55,71.4%,53,51,96.2%,94,5795,53,56.4%,61.6,50,2256,66,1,45.1
19,Indianapolis Colts,16,,,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,97,6070,46,47.4%,62.6,49,2216,60,1,45.2
20,Denver Broncos,16,,,6,6,5,4,8,8,16,10,35,28,58,80.0%,30,25,83.3%,79,4839,54,68.4%,61.3,66,3040,69,1,46.1
21,Detroit Lions,16,,,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,78,4735,26,33.3%,60.7,59,2897,67,0,49.1
22,Dallas Cowboys,16,1,1,5,5,13,13,13,12,9,3,41,34,59,82.9%,36,33,91.7%,92,5705,60,65.2%,62.0,50,2250,58,0,45.0
23,Green Bay Packers,16,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,98,6201,52,53.1%,63.3,47,2092,62,1,44.5
24,Las Vegas Raiders,16,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,44,1939,63,0,44.1
25,Houston Texans,16,,,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,87,5469,52,59.8%,62.9,55,2531,67,0,46.0
26,Cleveland Browns,16,,,5,5,6,4,12,10,1,,24,19,46,79.2%,48,43,89.6%,84,5325,45,53.6%,63.4,51,2244,59,0,44.0
27,New York Giants,16,,,3,3,11,11,9,9,6,5,32,31,55,96.9%,23,21,91.3%,74,4407,30,40.5%,59.6,66,2911,71,1,44.1
28,Minnesota Vikings,16,,,6,6,4,3,7,4,5,2,22,15,53,68.2%,43,37,86.0%,85,5053,53,62.4%,59.4,56,2435,59,2,43.5
29,Philadelphia Eagles,16,,,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,75,4626,46,61.3%,61.7,74,3395,66,1,45.9
30,Jacksonville Jaguars,16,,,5,4,7,6,4,2,9,6,25,18,59,72.0%,28,24,85.7%,73,4295,42,57.5%,58.8,65,3051,67,0,46.9
31,Carolina Panthers,16,,,12,11,10,10,8,7,6,1,36,29,56,80.6%,36,33,91.7%,81,5095,71,87.7%,62.9,45,2082,67,0,46.3
32,New England Patriots,16,,,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,75,4756,42,56.0%,63.4,55,2678,71,0,48.7
