Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Baltimore Ravens,16,207,101,48.8%,19,12,63.2%,60,38,63.3%
2,Los Angeles Chargers,16,224,99,44.2%,25,12,48.0%,56,32,57.1%
3,Los Angeles Rams,16,226,98,43.4%,17,8,47.1%,57,33,57.9%
4,Atlanta Falcons,16,221,97,43.9%,26,15,57.7%,58,31,53.4%
5,Pittsburgh Steelers,16,230,97,42.2%,19,10,52.6%,52,33,63.5%
6,Kansas City Chiefs,16,194,95,49.0%,16,9,56.3%,59,36,61.0%
7,Buffalo Bills,16,187,93,49.7%,10,8,80.0%,68,42,61.8%
8,New Orleans Saints,16,208,93,44.7%,16,11,68.8%,68,49,72.1%
9,Las Vegas Raiders,16,198,91,46.0%,21,16,76.2%,59,32,54.2%
10,Green Bay Packers,16,180,89,49.4%,21,13,61.9%,60,48,80.0%
11,Washington Football Team,16,225,88,39.1%,19,11,57.9%,47,27,57.4%
12,Cleveland Browns,16,196,88,44.9%,24,8,33.3%,53,39,73.6%
13,Dallas Cowboys,16,215,87,40.5%,31,17,54.8%,54,27,50.0%
14,Jacksonville Jaguars,16,207,84,40.6%,26,7,26.9%,45,27,60.0%
15,Tennessee Titans,16,182,84,46.2%,16,10,62.5%,64,48,75.0%
16,Houston Texans,16,193,83,43.0%,16,9,56.3%,50,27,54.0%
17,Tampa Bay Buccaneers,16,191,83,43.5%,14,8,57.1%,61,42,68.9%
18,Philadelphia Eagles,16,220,82,37.3%,35,15,42.9%,46,28,60.9%
19,Denver Broncos,16,212,82,38.7%,15,4,26.7%,45,24,53.3%
20,Arizona Cardinals,16,202,80,39.6%,25,17,68.0%,58,38,65.5%
21,Detroit Lions,16,192,79,41.1%,20,10,50.0%,53,35,66.0%
22,Miami Dolphins,16,202,78,38.6%,10,8,80.0%,60,35,58.3%
23,Indianapolis Colts,16,197,78,39.6%,26,16,61.5%,60,35,58.3%
24,Cincinnati Bengals,16,213,77,36.2%,27,19,70.4%,48,24,50.0%
25,San Francisco 49ers,16,197,77,39.1%,15,6,40.0%,55,37,67.3%
26,New England Patriots,16,186,76,40.9%,17,9,52.9%,48,26,54.2%
27,Seattle Seahawks,16,189,76,40.2%,14,8,57.1%,56,41,73.2%
28,Carolina Panthers,16,195,76,39.0%,27,15,55.6%,57,29,50.9%
29,Minnesota Vikings,16,181,74,40.9%,23,13,56.5%,59,42,71.2%
30,New York Giants,16,198,72,36.4%,22,14,63.6%,41,19,46.3%
31,Chicago Bears,16,205,71,34.6%,28,17,60.7%,55,31,56.4%
32,New York Jets,16,206,70,34.0%,18,7,38.9%,38,16,42.1%
