Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Los Angeles Rams,16,19,20,,,1,3,,43,1,1,,38,42,24,30,1,372,23.3
2,Baltimore Ravens,16,24,27,,1,3,,,55,2,2,,52,53,26,29,2,468,29.3
3,Pittsburgh Steelers,16,12,35,,,,3,,50,2,5,,41,45,23,24,1,416,26.0
4,Washington Football Team,16,18,16,,,1,2,,37,,5,,30,32,27,34,1,335,20.9
5,New Orleans Saints,16,30,28,,,,1,,59,,1,,57,58,23,28,1,482,30.1
6,Miami Dolphins,16,15,24,1,,2,,,42,4,6,,36,36,36,39,,404,25.3
7,New England Patriots,16,20,12,1,,1,1,1,36,1,3,,30,33,26,28,,326,20.4
8,Tampa Bay Buccaneers,16,16,42,,,,1,,59,,2,,52,57,28,31,1,492,30.8
9,New York Giants,16,13,12,,,1,1,,27,2,4,,21,23,31,32,,280,17.5
10,Indianapolis Colts,16,20,24,,1,,4,1,50,3,5,,43,45,32,37,3,451,28.2
11,Kansas City Chiefs,16,13,40,1,1,,2,,57,3,3,,48,54,25,27,1,473,29.6
12,Arizona Cardinals,16,22,27,,,,,,49,,3,,45,46,23,30,1,410,25.6
13,Green Bay Packers,16,16,48,,,1,1,,66,2,3,,59,63,16,16,1,509,31.8
14,Chicago Bears,16,12,26,,1,1,,,40,2,3,,36,37,30,32,1,372,23.3
15,Seattle Seahawks,16,15,40,,,,,,55,1,2,,49,53,24,24,3,459,28.7
16,Buffalo Bills,16,16,40,1,,1,2,,60,,1,,57,59,28,34,,501,31.3
17,San Francisco 49ers,16,19,25,,,,1,,45,1,4,,38,40,22,26,,376,23.5
18,Carolina Panthers,16,19,16,,,3,,,38,1,2,,33,36,29,36,,350,21.9
19,Atlanta Falcons,16,13,27,,,,1,,41,1,3,,34,38,38,40,,396,24.8
20,Philadelphia Eagles,16,16,22,1,,2,1,,42,7,16,,24,26,14,19,1,334,20.9
21,Cleveland Browns,16,21,27,,,,2,,50,2,2,,43,48,19,24,2,408,25.5
22,Cincinnati Bengals,16,13,19,,1,,,,33,,0,,32,33,27,34,,311,19.4
23,Los Angeles Chargers,16,12,31,,,,2,,45,2,5,,36,39,24,33,1,384,24.0
24,Tennessee Titans,16,26,33,,1,2,,,62,4,7,,51,53,20,28,,491,30.7
25,Denver Broncos,16,13,21,1,,,,,35,2,5,,25,30,28,35,,323,20.2
26,New York Jets,16,9,16,,,,1,,26,1,2,,20,24,21,28,1,243,15.2
27,Houston Texans,16,10,33,,,,1,,44,1,4,,37,40,27,31,,384,24.0
28,Dallas Cowboys,16,14,25,,1,2,,,42,4,6,,33,36,34,41,,395,24.7
29,Minnesota Vikings,16,20,35,,,,,,55,8,12,,37,43,15,22,1,430,26.9
30,Las Vegas Raiders,16,20,28,,,,,,48,1,1,,45,47,33,35,,434,27.1
31,Jacksonville Jaguars,16,9,25,1,,,1,1,37,3,9,,24,28,18,25,,306,19.1
32,Detroit Lions,16,17,27,1,,,,,45,2,4,,38,41,21,28,1,377,23.6
